#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2022-07-17-22-48-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1656434297.146983	CWoZvPgZX1oRVG9K9	10.6.21.10	54789	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.146983	CUX6YQ3yU5pUTfWMF9	10.6.21.10	54806	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.146983	CUHKJC2FfanYVVR3Ig	10.6.21.10	54798	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.147101	CtrmnR1CNch3U01wlf	10.6.21.10	54816	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.147238	C3duGb3OOyrivDtm58	10.6.21.10	54809	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.162480	C4r7Ok3XsadSlmQsv5	10.6.21.10	54793	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.162587	CsnZTW29doQ2KUOdd6	10.6.21.10	54797	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163020	CL79JE29m1WrAJlwD5	10.6.21.10	54810	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163103	CW36rg2ISvKzcb1Qx3	10.6.21.10	54792	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163103	CSPckeoq3C9kw7yud	10.6.21.10	54807	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163103	CbBQDA1dF8iw5p68ba	10.6.21.10	54817	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163148	CPN8oq1GcdJg0hIDTd	10.6.21.10	54784	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163148	CG3gJ94Z0FGZwX2sIg	10.6.21.10	54785	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163224	C8SUD731xSl5yWK8zk	10.6.21.10	54815	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163224	CooL3TnyaWLjzlFOj	10.6.21.10	54811	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163224	CrFMqo3iqyMZ2mJ9ng	10.6.21.10	54818	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163224	CPAnNWHLjI6mUqi15	10.6.21.10	54799	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163265	CZl1aw4g7QGOTTTf61	10.6.21.10	54805	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163265	C9N5lscGRis4l9zC3	10.6.21.10	54794	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
1656434297.163284	COexF54pj37Kebc4k7	10.6.21.10	54802	91.238.50.80	8080	bad_HTTP_request	-	F	zeek	HTTP
